"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00148156","39.0313","-95.0522","253.0","2011-04-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-22","0.51",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-23","0.03",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-25","0.03",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-26","0.70",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-27","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-04-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-06","0.49",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-07","0.54",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-08","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-11","0.03",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-12","0.31",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-13","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-19","0.40",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-20","0.32",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-22","0.01",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-25","0.92",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-26","0.53",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-27","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-28","0.05",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-29","0.10",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-05-31","0.19",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-02","0.34",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-08","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-11","0.42",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-12","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-13","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-17","0.26",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-18","0.75",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-19","0.77",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-21","0.32",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-27","1.25",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-06-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-04","0.64",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-07","1.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-08","0.22",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-11","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-12","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-13","2.35",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-19","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-24","0.12",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-25","0.28",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-27","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-07-31","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-05","0.04",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-08","0.18",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-09","0.05",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-11","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-12","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-13","0.94",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-16","0.64",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-19","0.74",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-20","1.36",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-23","0.87",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-27","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-08-31","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-08","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-10","0.26",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-11","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-12","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-13","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-17","0.02",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-18","0.53",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-19","0.25",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-27","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-09-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-03","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-08","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-10","0.02",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-11","0.15",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-12","0.03",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-13","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-16","0.01",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-19","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-27","0.09",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-10-31","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-03","0.98",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-04","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-08","2.09",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-09","0.41",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-11","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-12","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-13","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-14","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-15","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-19","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-20","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-21","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-22","0.28",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-26","0.91",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-27","0.02",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-11-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-01","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-02","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-03","0.38",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-04","0.83",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-05","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-06","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-07","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-08","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-09","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-10","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-11","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-12","0.03",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-13","0.01",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-14","0.50",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-15","0.07",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-16","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-17","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-18","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-19","0.06",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-20","1.59",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-21","0.13",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-22","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-23","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-24","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-25","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-26","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-27","0.02",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-28","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-29","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-30","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2011-12-31","0.00",,,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-01","0.02","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-03","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-04","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-05","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-08","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-10","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-11","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-12","0.02","0.2",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-13","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-14","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-15","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-16","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-17","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-18","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-19","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-20","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-21","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-22","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-23","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-24","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-25","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-26","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-27","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-28","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-29","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-30","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-01-31","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-01","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-03","0.83","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-04","0.78","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-05","0.04","0.2",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-08","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-10","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-11","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-12","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-13","0.18","1.8",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-14","0.02","0.2",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-15","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-16","0.02","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-17","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-18","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-19","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-20","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-21","0.21","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-22","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-23","0.01","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-24","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-25","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-26","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-27","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-28","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-02-29","1.50","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-01","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-02","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-03","0.07","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-04","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-05","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-06","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-07","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-08","0.31","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-09","0.00","0.0",,,,,,,,
"USC00148156","39.0313","-95.0522","253.0","2012-03-10","0.00","0.0",,,,,,,,
